"agency","name","address","city","state","zip","website","img_url"
"Portland Police Bureau","Chief Jami Resch","1111 SW 2nd Ave","Portland","Oregon","97204","http://www.portlandpolicebureau.com/","https://www.portlandoregon.gov/shared/cfm/image.cfm?id=750623"
"Prince George’s County Police Department","Chief Henry Stawinski III","7600 Barlowe Rd","Palmer Park","Maryland","20785","https://www.princegeorgescountymd.gov/345/Police","https://www.princegeorgescountymd.gov/images/CityDirectory/122/Chief%20Henry%20P%20Stawinski%20III_8x10.jpg"
"Raleigh Police Department","Chief Cassandra Deck-Brown","6716 Six Forks Rd","Raleigh","North Carolina","27615","http://www.raleighnc.gov/police","http://static.wixstatic.com/media/70d53e_fe2fec1d3b2a4309a7d69e899ab8a40c.jpg/v1/fill/w_309,h_353,al_c,q_80,usm_0.66_1.00_0.01/70d53e_fe2fec1d3b2a4309a7d69e899ab8a40c.webp"
"Sacramento Police Department","Chief Daniel Hahn","5770 Freeport Blvd","Sacramento","California","95822","https://www.cityofsacramento.org/Police","https://www.cityofsacramento.org/-/media/Corporate/Images/Police/Chiefs-message/western-city-mag.JPG?h=199&w=280&la=en"
"Salt Lake City Police Department","Chief Mike Brown","475 South 300 East","Salt Lake City","Utah","84111","http://www.slcpd.com/","http://www.slcpd.com/wp-content/uploads/2011/08/ChiefMikeBrown.png"
"San Antonio Police Department","Chief William McManus","315 South Santa Rosa","San Antonio","Texas","78207","https://www.sanantonio.gov/sapd","https://www.sanantonio.gov/portals/0/Images/SAPD/Staff/mcmanus_homepage.png"
"San Diego Police Department","Chief David Nisleit","1401 Broadway","San Diego ","California","92101","https://www.sandiego.gov/police","https://www.sandiego.gov/sites/default/files/styles/100_percent/public/chief-nisleit.png?itok=j045ut9a"
"San Francisco Police Department","Chief William Scott","1245 3rd St","San Francisco","California","94158","https://www.sanfranciscopolice.org/","https://www.sanfranciscopolice.org/sites/default/files/styles/sfpd_column_list_thumb_xs_1x/public/image/2018-10/Chief%20Scott%2C%20William-26%20%281%29.jpg?itok=stn8XZAE"
"San Jose Police Department","Chief Edgardo ""Eddie"" Garcia","201 West Mission St","San Jose","California","95110","http://www.sjpd.org/","http://www.sjpd.org/insidesjpd/images/Chief-Eddie-Garcia-200-280.jpg"
"Seattle Police Department","Chief Carmen Best","610 5th Ave","Seattle","Washington","98104","http://www.seattle.gov/police","http://www.seattle.gov/images/Police/Precincts/command/Best_Chief.jpg"
"St. Louis Metropolitan Police Department","Commissioner John Hayden","1915 Olive St","St Louis","Missouri","63103","http://www.slmpd.org/","http://www.slmpd.org/images/CommanderHayden.jpg"
"Suffolk County Police Department","Commissioner Geraldine Hart","30 Yaphank Ave","Yaphank","New York","11980","https://suffolkpd.org/","https://suffolkpd.org/portals/59/images/GeraldineHart2018.jpg"
"Tampa Police Department","Chief Brian Dugan","411 N Franklin St","Tampa","Florida","33602","https://www.tampagov.net/police","https://www.tampagov.net/sites/default/files/styles/panopoly_image_original/public/police/images/staff/dugan-180x225.jpg?itok=UI73bJ0w"
"Toronto Police Service","Chief Mark Saunders","40 College St","Toronto","Ontario","M5G 2J3","http://www.torontopolice.on.ca/","http://www.torontopolice.on.ca/images/marksaunders.jpg"
"Tucson Police Department","Chief Chris Magnus","270 South Stone Ave","Tucson","Arizona","85701","https://www.tucsonaz.gov/police","https://www.tucsonaz.gov/files/police/Chief101301b.jpg"
"Tulsa Police Department","Chuck Jordan","600 Civic Center","Tulsa","Oklahoma","74103","https://www.tulsapolice.org/","https://www.tulsapolice.org/media/122184/CJordan_170x207.jpg"
"Vancouver Police Department","Chief Adam Palmer","2120 Cambie St","Vancouver","British Columbia","V5Z 4N6","https://vancouver.ca/police/","https://vancouver.ca/police/assets/images/headshots/adam-palmer.jpg"
"Virginia Beach Police Department","Chief James ""Jim"" Cervera","2509 Princess Anne Rd","Virginia Beach","Virginia","23456","https://www.vbgov.com/government/departments/police/Pages/default.aspx","https://www.vbgov.com/government/departments/police/chiefs-office/PublishingImages/Chief_small.jpg"
"Metropolitan Police Department","Chief Peter Newsham","300 Indiana Ave NW","Washington","District of Columbia","20001","https://mpdc.dc.gov/","https://mpdc.dc.gov/sites/default/files/styles/medium/public/dc/sites/mpdc/biography_content/images/newsham_peter_cop_206x155a.jpg?itok=jP8ZmS2-"
"Wichita Police Department","Chief Gordon Ramsay","455 North Main","Wichita","Kansas","67202","http://www.wichita.gov/WPD/Pages/default.aspx","https://nextelementnate.podbean.com/mf/web/cskdgm/Gordon_Ramsay.jpg"
"Winnipeg Police Service","Danny Smyth","245 Smith St","Winnipeg","Manitoba","R3C 0R6","https://www.winnipeg.ca/police/default.stm","https://www.winnipeg.ca/police/AboutTheService/biopics/smyth.jpg"
"York Regional Police","Chief Eric Jolliffe","47 Don Hillock Dr","Aurora","Ontario","L4G 0S7","https://www.yrp.ca/en/index.asp","https://www.yrp.ca/en/about/resources/Chief_Jolliffe_official_portrait_2014.jpg"
